Time,Live Demand,Winter Peak Demand,Orkney ANM,Non-ANM Renewable Generation,Total Renewable Capacity,Wind speed,Humidity,Temperature
Sun Oct 20 16:00:03 2019,14.91,20.79,9.117003,17.28,30.702997,7.7,76,8.58
Sun Oct 20 16:10:03 2019,14.54,21.16,8.078001,15.902,33.119999,7.2,81,7.73
Sun Oct 20 16:20:03 2019,15.44,20.26,8.969,18.421,29.71,7.2,81,7.73
Sun Oct 20 16:30:03 2019,15.09,20.61,7.443001,15.24,34.416999,7.2,81,7.73
Sun Oct 20 16:40:03 2019,16.22,19.48,8.914,14.443,33.743,7.7,75,7.92
Sun Oct 20 16:50:03 2019,16.27,19.43,7.931,11.948,37.221,7.7,75,7.92
Sun Oct 20 17:00:03 2019,16.32,19.38,8.388,9.164,39.548,7.7,75,7.74
Sun Oct 20 17:10:03 2019,15.93,19.77,6.154,10.261,40.685,6.7,75,7.72
Sun Oct 20 17:20:03 2019,16.51,19.19,5.286999,10.796,41.017001,6.7,75,7.73
Sun Oct 20 17:30:04 2019,16.02,19.68,4.263,8.797,44.04,6.7,75,7.74
Sun Oct 20 17:40:03 2019,16.36,19.34,3.943,8.827,44.33,7.2,81,7.53
Sun Oct 20 17:50:03 2019,16.55,19.15,4.122,9.186,43.792,7.2,81,7.54
Sun Oct 20 18:00:03 2019,16.15,19.55,3.906,7.99,45.204,7.2,81,7.54
Sun Oct 20 18:10:03 2019,16.43,19.27,3.403,6.283,47.414,5.7,75,7.19
Sun Oct 20 18:20:03 2019,16.12,19.58,3.669,7.437,45.994,5.7,75,7.18
Sun Oct 20 18:30:03 2019,16.71,18.99,3.791,7.985,45.324,5.7,75,7.2
Sun Oct 20 18:40:03 2019,17.31,18.39,2.973,6.715,47.412,5.1,75,6.64
Sun Oct 20 18:50:03 2019,16.78,18.92,2.377,7.039,47.684,5.1,75,6.65
Sun Oct 20 19:00:02 2019,17.47,18.23,3.054,6.228,47.818,5.1,75,6.65
Sun Oct 20 19:10:03 2019,17.48,18.22,2.409,5.604,49.087,4.6,75,6.78
Sun Oct 20 19:20:03 2019,17.11,18.59,1.986,4.514,50.6,4.6,75,6.81
Sun Oct 20 19:30:03 2019,16.92,18.78,1.399,4.681,51.02,4.6,75,6.81
Sun Oct 20 19:40:03 2019,16.74,18.96,1.95,4.643,50.507,4.1,75,6.99
Sun Oct 20 19:50:03 2019,16.82,18.88,1.575,5.417,50.108,4.1,75,7.0
Sun Oct 20 20:00:05 2019,17.68,18.02,1.508,6.244,49.348,4.1,75,7.01
Sun Oct 20 20:10:04 2019,18.37,17.33,1.595,4.755,50.75,4.6,70,6.99
Sun Oct 20 20:20:03 2019,18.26,17.44,1.952001,5.429,49.718999,4.6,70,6.99
Sun Oct 20 20:30:04 2019,17.46,18.24,1.584001,4.446,51.069999,4.6,70,7.01
Sun Oct 20 20:40:03 2019,17.24,18.46,1.163999,3.436,52.500001,2.6,70,6.98
Sun Oct 20 20:50:04 2019,16.5,19.2,1.188,4.498,51.414,2.6,70,7.0
Sun Oct 20 21:00:03 2019,16.86,18.84,0.807,4.812,51.481,2.6,70,7.0
Sun Oct 20 21:10:04 2019,15.8,19.9,1.4,4.672,51.028,2.6,65,6.98
Sun Oct 20 21:20:04 2019,15.78,19.92,1.809,5.767,49.524,2.6,65,7.0
Sun Oct 20 21:30:03 2019,15.47,20.23,1.125,5.567,50.408,2.6,65,7.0
Sun Oct 20 21:40:04 2019,14.91,20.79,1.658001,5.006,50.435999,2.6,65,7.53
Sun Oct 20 21:50:04 2019,14.92,20.78,1.417,3.002,52.681,2.6,65,7.54
Sun Oct 20 22:00:03 2019,15.01,20.69,0.958,3.728,52.414,2.6,65,7.54
Sun Oct 20 22:10:03 2019,15.14,20.56,0.796,4.172,52.132,2.1,70,6.99
Sun Oct 20 22:20:03 2019,14.73,20.97,0.893,4.948,51.259,2.1,70,6.8
Sun Oct 20 22:30:04 2019,14.49,21.21,1.221,4.72,51.159,2.1,70,6.83
Sun Oct 20 22:40:03 2019,14.43,21.27,0.918999,4.7,51.481001,1.5,75,6.49
Sun Oct 20 22:50:03 2019,13.96,21.74,1.159,3.542,52.399,1.5,75,6.49
Sun Oct 20 23:00:04 2019,13.6,22.1,1.459,3.589,52.052,1.5,75,6.52
Sun Oct 20 23:10:04 2019,13.19,22.51,1.111,4.254,51.735,1.5,75,6.52
Sun Oct 20 23:20:03 2019,12.64,23.06,1.021,4.411,51.668,2.6,81,6.5
Sun Oct 20 23:30:04 2019,12.59,23.11,1.168999,3.844,52.087001,2.6,81,6.52
Sun Oct 20 23:40:03 2019,12.32,23.38,1.105,3.512,52.483,2.6,81,6.52
Sun Oct 20 23:50:03 2019,11.86,23.84,0.645,4.027,52.428,1,81,6.5
Mon Oct 21 00:00:03 2019,12.33,23.37,0.624,2.832,53.644,1,81,6.5
Mon Oct 21 00:10:04 2019,13.53,22.17,0.376,2.613,54.111,3.82,87,6.19
Mon Oct 21 00:20:03 2019,13.31,22.39,0.498,2.444,54.158,3.82,87,6.2
Mon Oct 21 00:30:04 2019,13.7,22.0,0.378,2.598,54.124,3.82,87,6.21
Mon Oct 21 00:40:04 2019,14.58,21.12,0.496,2.527,54.077,1,87,5.84
Mon Oct 21 00:50:03 2019,15.25,20.45,0.531,2.319,54.25,1,87,5.85
Mon Oct 21 01:00:04 2019,15.04,20.66,0.812,3.057,53.231,1,87,5.85
Mon Oct 21 01:10:04 2019,14.55,21.15,0.764,2.92,53.416,1,87,5.85
Mon Oct 21 01:20:03 2019,14.44,21.26,0.857,2.796,53.447,1.5,87,5.84
Mon Oct 21 01:30:03 2019,14.42,21.28,0.635,3.773,52.692,1.5,87,5.84
Mon Oct 21 01:40:03 2019,15.21,20.49,0.707,2.292,54.101,1.5,70,6.54
Mon Oct 21 01:50:04 2019,14.74,20.96,0.812,1.887,54.401,1.5,70,6.54
Mon Oct 21 02:00:03 2019,14.52,21.18,0.278,2.441,54.381,1.5,70,6.53
Mon Oct 21 02:10:04 2019,15.01,20.69,0.439,2.281,54.38,3.88,81,6.24
Mon Oct 21 02:20:03 2019,14.27,21.43,0.339,2.244,54.517,3.88,81,6.23
Mon Oct 21 02:30:05 2019,14.41,21.29,0.43,2.512,54.158,3.48,81,6.41
Mon Oct 21 02:40:04 2019,15.13,20.57,0.317,2.353,54.43,1,81,6.44
Mon Oct 21 02:50:03 2019,15.35,20.35,0.423,1.999,54.678,1,81,6.44
Mon Oct 21 03:00:03 2019,15.34,20.36,0.443,2.578,54.079,1,81,6.42
Mon Oct 21 03:10:04 2019,15.42,20.28,0.339,2.402,54.359,3.48,81,6.43
Mon Oct 21 03:20:03 2019,15.86,19.84,0.125,2.155,54.82,3.48,81,6.43
Mon Oct 21 03:30:04 2019,15.6,20.1,0.148,3.29,53.662,3.48,81,6.6
Mon Oct 21 03:40:03 2019,15.61,20.09,0.25,2.193,54.657,3.48,81,6.64
Mon Oct 21 03:50:04 2019,15.11,20.59,0.232,3.094,53.774,3.48,81,6.61
Mon Oct 21 04:00:05 2019,15.33,20.37,0.393,2.532,54.175,3.48,81,6.6
Mon Oct 21 04:10:03 2019,15.85,19.85,0.304,2.272,54.524,3.48,81,6.6
Mon Oct 21 04:20:04 2019,15.67,20.03,0.194,2.959,53.947,3.48,81,6.61
Mon Oct 21 04:30:03 2019,15.58,20.12,0.208,1.554,55.338,3.48,81,6.61
Mon Oct 21 04:40:04 2019,16.74,18.96,0.164,1.682,55.254,3.48,75,6.94
Mon Oct 21 04:50:03 2019,16.62,19.08,0.22,2.938,53.942,3.48,75,6.94
Mon Oct 21 05:00:03 2019,15.96,19.74,0.226,2.738,54.136,3.48,75,6.91
Mon Oct 21 05:10:04 2019,15.57,20.13,0.218,2.554,54.328,3.48,75,6.93
Mon Oct 21 05:20:04 2019,15.59,20.11,0.339,2.27,54.491,3.48,75,6.92
Mon Oct 21 05:30:04 2019,15.69,20.01,0.418,2.218,54.464,3.48,75,6.92
Mon Oct 21 05:40:04 2019,15.91,19.79,1.345,2.887,52.868,4.67,81,6.63
Mon Oct 21 05:50:04 2019,15.91,19.79,0.858,4.14,52.102,4.67,81,6.63
Mon Oct 21 06:00:04 2019,15.88,19.82,0.579,4.117,52.404,4.67,81,6.6
Mon Oct 21 06:10:04 2019,15.9,19.8,0.918,4.139,52.043,4.67,81,6.63
Mon Oct 21 06:20:03 2019,16.05,19.65,0.783,4.644,51.673,4.67,81,6.63
Mon Oct 21 06:30:03 2019,16.52,19.18,0.954,3.812,52.334,4.67,81,6.6
Mon Oct 21 06:40:03 2019,17.07,18.63,1.339,4.651,51.11,1,75,7.12
Mon Oct 21 06:50:03 2019,17.12,18.58,1.158001,5.246,50.695999,1,75,7.11
Mon Oct 21 07:00:04 2019,16.8,18.9,1.189,5.359,50.552,1,75,6.91
Mon Oct 21 07:10:04 2019,17.24,18.46,1.741,6.671,48.688,4.67,70,6.93
Mon Oct 21 07:20:04 2019,17.15,18.55,2.732,7.634,46.734,4.67,70,6.92
Mon Oct 21 07:30:04 2019,16.79,18.91,2.769,6.253,48.078,4.67,70,6.91
Mon Oct 21 07:40:03 2019,16.19,19.51,3.29,7.065,46.745,3.1,81,6.93
Mon Oct 21 07:50:04 2019,16.46,19.24,3.338001,7.694,46.067999,3.1,81,6.93
Mon Oct 21 08:00:03 2019,16.7,19.0,3.501,7.394,46.205,3.1,81,6.93
Mon Oct 21 08:10:04 2019,17.34,18.36,3.918,7.76,45.422,4.1,75,6.94
Mon Oct 21 08:20:04 2019,17.11,18.59,3.995999,7.818,45.286001,4.1,75,6.92
Mon Oct 21 08:30:03 2019,16.86,18.84,4.109,8.058,44.933,4.1,75,6.92
Mon Oct 21 08:40:03 2019,16.45,19.25,5.057001,8.864,43.178999,4.1,70,6.89
Mon Oct 21 08:50:03 2019,15.78,19.92,4.518001,12.366,40.215999,4.1,70,6.89
Mon Oct 21 09:00:05 2019,16.6,19.1,4.732001,12.235,40.132999,4.1,70,6.86
Mon Oct 21 09:10:04 2019,16.66,19.04,5.195,14.633,37.272,3.6,70,6.89
Mon Oct 21 09:20:03 2019,16.91,18.79,5.843999,15.038,36.218001,3.6,70,6.89
Mon Oct 21 09:30:04 2019,16.13,19.57,5.448,14.83,36.822,3.6,70,6.86
Mon Oct 21 09:40:04 2019,16.54,19.16,5.908001,14.716,36.475999,3.6,75,6.59
Mon Oct 21 09:50:04 2019,15.84,19.86,4.898999,14.147,38.054001,3.6,75,6.57
Mon Oct 21 10:00:05 2019,16.27,19.43,4.710999,13.199,39.190001,3.6,75,6.55
Mon Oct 21 10:10:05 2019,16.54,19.16,5.604,14.744,36.752,4.6,75,6.59
Mon Oct 21 10:20:04 2019,16.24,19.46,5.611001,15.621,35.867999,4.6,75,6.58
Mon Oct 21 10:30:03 2019,16.4,19.3,5.769001,15.884,35.446999,4.6,75,6.55
Mon Oct 21 10:40:03 2019,16.58,19.12,6.794001,18.545,31.760999,5.1,70,7.58
Mon Oct 21 10:50:04 2019,15.62,20.08,6.506,17.153,33.441,5.1,70,7.57
Mon Oct 21 11:00:03 2019,16.87,18.83,6.403999,17.831,32.865001,5.1,70,7.57
Mon Oct 21 11:10:04 2019,18.35,17.35,6.914999,17.515,32.670001,5.7,75,7.58
Mon Oct 21 11:20:04 2019,17.3,18.4,6.758,17.785,32.557,5.7,75,7.57
Mon Oct 21 11:30:04 2019,16.93,18.77,7.239,17.492,32.369,5.7,75,7.57
Mon Oct 21 11:40:04 2019,17.79,17.91,7.661,18.156,31.283,5.7,75,7.57
Mon Oct 21 11:50:04 2019,17.71,17.99,7.552999,18.754,30.793001,5.1,75,7.76
Mon Oct 21 12:00:03 2019,16.78,18.92,7.756,18.321,31.023,5.1,75,7.76
Mon Oct 21 12:10:03 2019,17.44,18.26,8.222,18.801,30.077,5.7,75,7.58
Mon Oct 21 12:20:03 2019,17.19,18.51,8.471003,18.381,30.247997,5.7,75,7.58
Mon Oct 21 12:30:04 2019,16.74,18.96,8.92,19.339,28.841,5.7,75,7.76
Mon Oct 21 12:40:04 2019,16.91,18.79,8.691003,19.906,28.502997,6.7,75,7.78
Mon Oct 21 12:50:04 2019,16.41,19.29,9.943,19.093,28.064,6.7,75,7.76
Mon Oct 21 13:00:04 2019,16.39,19.31,10.091998,19.123,27.885002,6.7,75,7.76
Mon Oct 21 13:10:04 2019,16.28,19.42,10.255999,20.016,26.828001,6.2,75,8.12
Mon Oct 21 13:20:03 2019,16.45,19.25,10.995001,18.908,27.196999,6.2,75,8.11
Mon Oct 21 13:30:04 2019,15.17,20.53,9.229002,19.606,28.264998,6.2,75,8.11
Mon Oct 21 13:40:04 2019,16.2,19.5,10.187004,20.307,26.605996,6.7,75,8.12
Mon Oct 21 13:50:04 2019,16.26,19.44,10.382998,19.761,26.956002,6.7,75,8.11
Mon Oct 21 14:00:06 2019,16.17,19.53,10.431999,19.863,26.805001,6.7,75,8.11
Mon Oct 21 14:10:04 2019,16.37,19.33,10.148,20.904,26.048,6.2,75,8.31
Mon Oct 21 14:20:03 2019,15.67,20.03,9.613,20.523,26.964,6.2,75,8.31
Mon Oct 21 14:30:04 2019,15.88,19.82,10.366002,20.936,25.797998,6.2,75,8.31
Mon Oct 21 14:40:04 2019,16.26,19.44,10.942001,21.471,24.686999,6.2,75,8.31
Mon Oct 21 14:50:04 2019,16.76,18.94,11.436003,20.829,24.834997,6.2,75,8.32
Mon Oct 21 15:00:03 2019,16.72,18.98,11.492001,18.686,26.921999,6.2,75,8.32
Mon Oct 21 15:10:06 2019,16.73,18.97,11.68,19.399,26.021,5.7,75,8.32
Mon Oct 21 15:20:03 2019,17.28,18.42,10.825003,19.935,26.339997,5.7,75,8.32
Mon Oct 21 15:30:03 2019,16.01,19.69,11.748,20.121,25.231,5.7,75,8.3
Mon Oct 21 15:40:03 2019,16.33,19.37,12.111002,21.208,23.780998,6.7,81,8.31
Mon Oct 21 15:50:04 2019,15.93,19.77,11.732996,21.221,24.146004,6.7,81,8.49
Mon Oct 21 16:00:09 2019,15.48,20.22,12.274002,20.943,23.882998,6.7,81,8.49
Mon Oct 21 16:10:04 2019,16.52,19.18,12.892001,22.029,22.178999,6.7,81,8.51
Mon Oct 21 16:20:04 2019,16.8,18.9,12.899998,22.791,21.409002,6.7,81,8.5
Mon Oct 21 16:30:04 2019,17.26,18.44,12.967002,22.43,21.702998,6.7,81,8.48
Mon Oct 21 16:40:03 2019,16.83,18.87,13.436004,22.363,21.300996,6.7,81,8.48
Mon Oct 21 16:50:04 2019,17.48,18.22,13.294997,22.72,21.085003,7.2,81,8.5
Mon Oct 21 17:00:04 2019,17.5,18.2,13.257,22.26,21.583,7.2,81,8.48
Mon Oct 21 17:10:03 2019,17.63,18.07,13.608999,20.831,22.660001,6.2,76,8.82
Mon Oct 21 17:20:04 2019,17.15,18.55,13.082995,22.717,21.300005,6.2,76,8.99
Mon Oct 21 17:30:03 2019,17.91,17.79,13.817999,22.402,20.880001,6.2,76,8.99
Mon Oct 21 17:40:04 2019,17.94,17.76,12.898998,22.538,21.663002,6.7,76,9.01
Mon Oct 21 17:50:03 2019,17.35,18.35,14.375999,22.839,19.885001,6.7,76,9.0
Mon Oct 21 18:00:04 2019,17.37,18.33,13.256002,22.504,21.339998,6.7,76,8.99
Mon Oct 21 18:10:03 2019,18.02,17.68,13.495999,22.737,20.867001,6.7,76,8.99
Mon Oct 21 18:20:04 2019,17.84,17.86,13.400002,22.426,21.273998,6.7,76,8.81
Mon Oct 21 18:30:04 2019,17.08,18.62,13.447002,22.289,21.363998,6.7,76,8.79
Mon Oct 21 18:40:03 2019,17.57,18.13,14.284,23.123,19.693,7.2,76,9.35
Mon Oct 21 18:50:04 2019,16.42,19.28,14.407,22.806,19.887,7.2,76,9.35
Mon Oct 21 19:00:04 2019,16.9,18.8,13.884997,22.626,20.589003,7.2,76,9.15
Mon Oct 21 19:10:04 2019,17.98,17.72,15.170997,22.898,19.031003,8.2,76,9.16
Mon Oct 21 19:20:03 2019,17.31,18.39,14.82,23.0,19.28,8.2,76,9.16
Mon Oct 21 19:30:04 2019,17.98,17.72,15.615002,22.643,18.841998,8.2,76,9.15
Mon Oct 21 19:40:04 2019,17.55,18.15,15.851,22.953,18.296,8.2,81,9.16
Mon Oct 21 19:50:04 2019,17.88,17.82,15.312,22.809,18.979,8.2,81,9.15
Mon Oct 21 20:00:04 2019,17.14,18.56,16.041004,22.629,18.429996,8.2,81,9.15
Mon Oct 21 20:10:04 2019,18.37,17.33,15.746002,22.562,18.791998,8.2,81,9.16
Mon Oct 21 20:20:04 2019,18.06,17.64,14.204,22.801,20.095,8.2,81,9.15
Mon Oct 21 20:30:03 2019,17.44,18.26,14.136999,23.04,19.923001,8.2,81,9.15
Mon Oct 21 20:40:03 2019,17.24,18.46,14.667997,23.236,19.196003,8.7,81,9.16
Mon Oct 21 20:50:03 2019,16.83,18.87,14.256001,22.823,20.020999,8.7,81,9.15
Mon Oct 21 21:10:03 2019,15.7,20.0,14.817002,23.146,19.136998,7.2,81,9.16
Mon Oct 21 21:20:04 2019,17.09,18.61,16.550994,23.202,17.347006,7.2,81,9.15
Mon Oct 21 21:30:03 2019,16.69,19.01,15.712,22.783,18.605,7.2,81,9.34
Mon Oct 21 21:40:04 2019,15.84,19.86,15.663996,22.753,18.683004,8.2,76,9.66
Mon Oct 21 21:50:04 2019,16.1,19.6,15.618999,22.724,18.757001,8.2,76,9.65
Mon Oct 21 22:00:04 2019,15.01,20.69,15.306001,22.39,19.403999,8.2,76,9.65
Mon Oct 21 22:10:04 2019,15.94,19.76,14.448001,22.816,19.835999,8.7,81,9.86
Mon Oct 21 22:20:03 2019,15.26,20.44,14.421997,22.439,20.239003,8.7,81,9.86
