Time,CoreZone,Zone1,Zone1A,Zone2,Zone2A,Zone2B,Zone3,Zone4,Zone4A
Mon Nov 18 19:10:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 19:20:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 19:30:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 19:40:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 19:50:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 20:00:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 20:10:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 20:20:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 20:30:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 20:40:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 20:50:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 21:00:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 21:10:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 21:20:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 21:30:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 21:40:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 21:50:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 22:00:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 22:10:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 22:20:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 22:30:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 22:40:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 22:50:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 23:00:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 23:10:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 23:20:07 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 23:30:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 23:40:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 23:50:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 00:00:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 00:10:09 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 00:20:06 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 00:30:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 00:40:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 00:50:06 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 01:00:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 01:10:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 01:20:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 01:30:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 01:40:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 01:50:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 02:00:05 2019,111,110,111,111,111,111,111,111,111
Tue Nov 19 02:10:04 2019,111,010,111,111,111,111,111,111,111
Tue Nov 19 02:20:04 2019,111,010,111,111,111,111,111,111,111
Tue Nov 19 02:30:05 2019,111,010,111,111,111,111,111,111,111
Tue Nov 19 02:40:04 2019,111,010,111,111,111,111,111,111,111
Tue Nov 19 02:50:04 2019,111,011,111,111,111,111,111,111,111
Tue Nov 19 03:00:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 03:10:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 03:20:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 03:30:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 03:40:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 03:50:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 04:00:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 04:10:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 04:20:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 04:30:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 04:40:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 04:50:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 05:00:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 05:10:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 05:20:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 05:30:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 05:40:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 05:50:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 06:00:05 2019,111,111,111,111,111,011,111,111,111
Tue Nov 19 06:10:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 06:20:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 06:30:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 06:40:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 06:50:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 07:00:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 07:10:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 07:20:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 07:30:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 07:40:05 2019,111,111,111,111,111,010,111,111,111
Tue Nov 19 07:50:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 08:00:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 08:10:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 08:20:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 08:30:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 08:40:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 08:50:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 09:00:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 09:10:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 09:20:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 09:30:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 09:40:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 09:50:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 10:00:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 10:10:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 10:20:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 10:30:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 10:40:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 10:50:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 11:00:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 11:10:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 11:20:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 11:30:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 11:40:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 11:50:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 12:00:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 12:10:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 12:20:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 12:30:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 12:40:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 12:50:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 13:00:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 13:10:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 13:20:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 13:30:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 13:40:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 13:50:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 14:00:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 14:10:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 14:20:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 14:30:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 14:40:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 14:50:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 15:00:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 15:10:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 15:20:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 15:30:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 15:40:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 15:50:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 16:00:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 16:10:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 16:20:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 16:30:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 16:40:06 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 16:50:04 2019,111,111,111,111,111,010,111,111,111
Tue Nov 19 17:00:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 17:10:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 17:20:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 17:30:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 17:40:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 17:50:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 19:00:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 19:10:04 2019,110,010,010,010,010,010,010,010,010
Tue Nov 19 19:20:05 2019,011,011,011,011,011,011,011,011,011
Tue Nov 19 19:30:05 2019,011,011,011,011,011,111,011,011,011
Tue Nov 19 19:40:05 2019,011,011,011,111,111,111,011,011,011
Tue Nov 19 19:50:04 2019,011,011,011,111,111,111,111,011,011
Tue Nov 19 20:00:04 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 20:10:05 2019,111,111,111,111,111,111,111,111,111
Tue Nov 19 20:20:04 2019,111,111,111,111,111,111,111,111,111
